Latitude (decimal degrees):	51.503
Longitude (decimal degrees):	10.781
Elevation (m):	188
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: -1 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,0.0,13.46,6.76,0.0
20230101:0110,0.0,0.0,0.0,0.0,13.48,6.55,0.0
20230101:0210,0.0,0.0,0.0,0.0,13.43,6.34,0.0
20230101:0310,0.0,0.0,0.0,0.0,13.12,6.21,0.0
20230101:0410,0.0,0.0,0.0,0.0,12.74,6.41,0.0
20230101:0510,0.0,0.0,0.0,0.0,12.49,6.55,0.0
20230101:0610,0.0,0.0,0.0,0.0,12.25,6.41,0.0
20230101:0710,0.0,0.0,0.0,0.0,11.89,5.93,0.0
20230101:0810,183.97,44.41,1.03,4.73,11.72,5.86,0.0
20230101:0910,350.77,98.15,2.76,10.27,12.16,5.79,0.0
20230101:1010,201.02,136.41,3.16,13.95,12.62,5.66,0.0
20230101:1110,0.0,40.69,0.86,15.46,12.83,5.59,0.0
20230101:1210,0.0,46.11,0.97,14.66,12.46,5.31,0.0
20230101:1310,0.0,27.12,0.57,11.62,12.59,5.24,0.0
20230101:1410,9.34,35.23,0.74,6.62,12.38,4.83,0.0
20230101:1510,0.0,0.0,0.0,0.0,11.76,4.28,0.0
20230101:1610,0.0,0.0,0.0,0.0,11.07,3.66,0.0
20230101:1710,0.0,0.0,0.0,0.0,10.57,3.03,0.0
20230101:1810,0.0,0.0,0.0,0.0,10.47,2.62,0.0
20230101:1910,0.0,0.0,0.0,0.0,10.71,2.41,0.0
20230101:2010,0.0,0.0,0.0,0.0,10.07,2.28,0.0
20230101:2110,0.0,0.0,0.0,0.0,9.26,2.28,0.0
20230101:2210,0.0,0.0,0.0,0.0,9.37,2.62,0.0
20230101:2310,0.0,0.0,0.0,0.0,10.16,3.38,0.0
20230102:0010,0.0,0.0,0.0,0.0,11.01,4.14,0.0
20230102:0110,0.0,0.0,0.0,0.0,11.53,4.34,0.0
20230102:0210,0.0,0.0,0.0,0.0,11.62,3.93,0.0
20230102:0310,0.0,0.0,0.0,0.0,11.4,4.21,0.0
20230102:0410,0.0,0.0,0.0,0.0,11.19,4.28,0.0
20230102:0510,0.0,0.0,0.0,0.0,10.9,4.0,0.0
20230102:0610,0.0,0.0,0.0,0.0,10.76,4.21,0.0
20230102:0710,0.0,0.0,0.0,0.0,11.8,4.69,0.0
20230102:0810,140.05,43.86,0.95,4.76,11.42,4.34,0.0
20230102:0910,65.47,83.23,1.77,10.31,11.67,4.76,0.0
20230102:1010,0.0,61.48,1.3,14.01,12.0,5.45,0.0
20230102:1110,0.0,64.19,1.35,15.54,11.59,5.59,0.0
20230102:1210,83.4,122.85,2.71,14.76,11.36,5.52,0.0
20230102:1310,29.92,78.79,1.7,11.74,11.56,5.38,0.0
20230102:1410,0.0,6.33,0.13,6.74,11.21,4.9,0.0
20230102:1510,0.0,0.0,0.0,0.0,10.39,4.41,0.0
20230102:1610,0.0,0.0,0.0,0.0,9.73,4.07,0.0
20230102:1710,0.0,0.0,0.0,0.0,9.31,3.72,0.0
20230102:1810,0.0,0.0,0.0,0.0,8.85,3.59,0.0
20230102:1910,0.0,0.0,0.0,0.0,8.62,3.59,0.0
20230102:2010,0.0,0.0,0.0,0.0,8.38,3.79,0.0
20230102:2110,0.0,0.0,0.0,0.0,8.0,3.93,0.0
20230102:2210,0.0,0.0,0.0,0.0,7.5,3.86,0.0
20230102:2310,0.0,0.0,0.0,0.0,6.88,3.86,0.0
20230103:0010,0.0,0.0,0.0,0.0,6.58,3.72,0.0
20230103:0110,0.0,0.0,0.0,0.0,6.51,3.66,0.0
20230103:0210,0.0,0.0,0.0,0.0,6.49,3.38,0.0
20230103:0310,0.0,0.0,0.0,0.0,6.32,3.24,0.0
20230103:0410,0.0,0.0,0.0,0.0,6.21,3.17,0.0
20230103:0510,0.0,0.0,0.0,0.0,6.09,3.03,0.0
20230103:0610,0.0,0.0,0.0,0.0,5.96,2.97,0.0
20230103:0710,0.0,0.0,0.0,0.0,5.71,3.1,0.0
20230103:0810,181.15,45.83,1.05,4.79,5.63,3.1,0.0
20230103:0910,271.43,111.81,2.65,10.37,5.79,3.31,0.0
20230103:1010,490.71,120.0,4.21,14.08,6.08,3.52,0.0
20230103:1110,543.7,126.49,4.8,15.63,6.26,3.86,0.0
20230103:1210,560.03,112.02,4.65,14.87,6.78,3.86,0.0
20230103:1310,462.0,99.51,3.56,11.86,7.21,3.59,0.0
20230103:1410,281.1,70.83,1.77,6.87,7.3,2.76,0.0
20230103:1510,0.0,0.0,0.0,0.0,6.85,2.69,0.0
20230103:1610,0.0,0.0,0.0,0.0,6.29,2.76,0.0
20230103:1710,0.0,0.0,0.0,0.0,6.24,3.03,0.0
20230103:1810,0.0,0.0,0.0,0.0,6.28,3.31,0.0
20230103:1910,0.0,0.0,0.0,0.0,5.38,3.1,0.0
20230103:2010,0.0,0.0,0.0,0.0,4.87,3.03,0.0
20230103:2110,0.0,0.0,0.0,0.0,4.66,3.17,0.0
20230103:2210,0.0,0.0,0.0,0.0,4.82,3.45,0.0
20230103:2310,0.0,0.0,0.0,0.0,4.85,3.86,0.0
20230104:0010,0.0,0.0,0.0,0.0,5.05,4.14,0.0
20230104:0110,0.0,0.0,0.0,0.0,4.93,4.34,0.0
20230104:0210,0.0,0.0,0.0,0.0,5.28,4.83,0.0
20230104:0310,0.0,0.0,0.0,0.0,5.43,5.1,0.0
20230104:0410,0.0,0.0,0.0,0.0,5.43,5.31,0.0
20230104:0510,0.0,0.0,0.0,0.0,5.52,5.52,0.0
20230104:0610,0.0,0.0,0.0,0.0,5.78,5.93,0.0
20230104:0710,0.0,0.0,0.0,0.0,5.57,6.34,0.0
20230104:0810,0.0,18.08,0.38,4.84,5.73,6.69,0.0
20230104:0910,0.0,29.84,0.63,10.43,6.19,7.03,0.0
20230104:1010,0.0,46.11,0.97,14.16,6.78,7.03,0.0
20230104:1110,31.83,110.1,2.38,15.73,7.48,7.24,0.0
20230104:1210,2.95,74.63,1.58,14.98,7.73,7.1,0.0
20230104:1310,0.0,47.92,1.01,11.98,8.19,6.97,0.0
20230104:1410,4.46,30.55,0.65,7.01,8.46,7.03,0.0
20230104:1510,0.0,0.0,0.0,0.0,8.8,7.24,0.0
20230104:1610,0.0,0.0,0.0,0.0,9.07,7.03,0.0
20230104:1710,0.0,0.0,0.0,0.0,9.27,6.9,0.0
20230104:1810,0.0,0.0,0.0,0.0,9.41,6.76,0.0
20230104:1910,0.0,0.0,0.0,0.0,9.3,6.69,0.0
20230104:2010,0.0,0.0,0.0,0.0,9.49,7.24,0.0
20230104:2110,0.0,0.0,0.0,0.0,9.34,7.59,0.0
20230104:2210,0.0,0.0,0.0,0.0,8.78,7.17,0.0
20230104:2310,0.0,0.0,0.0,0.0,8.56,7.38,0.0
20230105:0010,0.0,0.0,0.0,0.0,8.41,7.1,0.0
20230105:0110,0.0,0.0,0.0,0.0,8.56,7.1,0.0
20230105:0210,0.0,0.0,0.0,0.0,8.23,6.69,0.0
20230105:0310,0.0,0.0,0.0,0.0,8.11,6.41,0.0
20230105:0410,0.0,0.0,0.0,0.0,8.17,6.76,0.0
20230105:0510,0.0,0.0,0.0,0.0,8.25,6.97,0.0
20230105:0610,0.0,0.0,0.0,0.0,8.08,6.69,0.0
20230105:0710,0.0,0.0,0.0,0.0,8.01,6.69,0.0
20230105:0810,29.58,31.67,0.67,4.89,7.86,6.69,0.0
20230105:0910,0.0,35.26,0.74,10.49,7.97,6.69,0.0
20230105:1010,75.92,117.55,2.57,14.25,8.35,5.79,0.0
20230105:1110,43.18,117.46,2.55,15.84,8.61,5.52,0.0
20230105:1210,11.72,90.93,1.94,15.1,8.84,5.38,0.0
20230105:1310,29.23,82.32,1.77,12.12,8.75,5.45,0.0
20230105:1410,0.0,20.8,0.44,7.15,8.38,5.03,0.0
20230105:1510,0.0,0.0,0.0,0.0,8.1,4.41,0.0
20230105:1610,0.0,0.0,0.0,0.0,7.72,4.07,0.0
20230105:1710,0.0,0.0,0.0,0.0,7.64,3.86,0.0
20230105:1810,0.0,0.0,0.0,0.0,7.55,3.66,0.0
20230105:1910,0.0,0.0,0.0,0.0,7.54,3.59,0.0
20230105:2010,0.0,0.0,0.0,0.0,7.47,3.31,0.0
20230105:2110,0.0,0.0,0.0,0.0,7.5,2.83,0.0
20230105:2210,0.0,0.0,0.0,0.0,7.5,2.28,0.0
20230105:2310,0.0,0.0,0.0,0.0,7.45,1.86,0.0
20230106:0010,0.0,0.0,0.0,0.0,7.44,1.93,0.0
20230106:0110,0.0,0.0,0.0,0.0,7.49,2.0,0.0
20230106:0210,0.0,0.0,0.0,0.0,7.6,2.07,0.0
20230106:0310,0.0,0.0,0.0,0.0,7.83,2.07,0.0
20230106:0410,0.0,0.0,0.0,0.0,8.04,2.21,0.0
20230106:0510,0.0,0.0,0.0,0.0,8.23,2.14,0.0
20230106:0610,0.0,0.0,0.0,0.0,8.29,1.93,0.0
20230106:0710,0.0,0.0,0.0,0.0,8.64,2.62,0.0
20230106:0810,0.0,15.37,0.32,4.94,8.85,3.45,0.0
20230106:0910,85.27,91.94,1.96,10.57,9.09,4.55,0.0
20230106:1010,105.71,126.7,2.8,14.35,9.17,4.9,0.0
20230106:1110,0.0,66.91,1.41,15.95,9.3,5.17,0.0
20230106:1210,11.65,91.82,1.96,15.23,9.25,5.17,0.0
20230106:1310,0.0,56.96,1.2,12.25,9.18,4.97,0.0
20230106:1410,0.0,7.23,0.15,7.29,9.3,4.97,0.0
20230106:1510,0.0,0.0,0.0,0.0,9.11,4.62,0.0
20230106:1610,0.0,0.0,0.0,0.0,8.84,3.93,0.0
20230106:1710,0.0,0.0,0.0,0.0,8.36,3.38,0.0
20230106:1810,0.0,0.0,0.0,0.0,8.17,3.31,0.0
20230106:1910,0.0,0.0,0.0,0.0,8.4,3.45,0.0
20230106:2010,0.0,0.0,0.0,0.0,8.28,3.24,0.0
20230106:2110,0.0,0.0,0.0,0.0,8.19,3.03,0.0
20230106:2210,0.0,0.0,0.0,0.0,8.11,3.03,0.0
20230106:2310,0.0,0.0,0.0,0.0,8.16,3.1,0.0
20230107:0010,0.0,0.0,0.0,0.0,8.24,3.24,0.0
20230107:0110,0.0,0.0,0.0,0.0,7.84,2.9,0.0
20230107:0210,0.0,0.0,0.0,0.0,7.95,2.76,0.0
20230107:0310,0.0,0.0,0.0,0.0,7.75,2.9,0.0
20230107:0410,0.0,0.0,0.0,0.0,7.65,3.03,0.0
20230107:0510,0.0,0.0,0.0,0.0,7.56,2.9,0.0
20230107:0610,0.0,0.0,0.0,0.0,7.44,2.76,0.0
20230107:0710,0.0,0.0,0.0,0.0,7.03,2.62,0.0
20230107:0810,0.0,9.95,0.21,5.01,6.8,2.34,0.0
20230107:0910,24.69,72.42,1.54,10.65,7.25,2.21,0.0
20230107:1010,0.0,36.17,0.76,14.45,8.14,3.17,0.0
20230107:1110,0.0,68.71,1.45,16.07,8.72,3.66,0.0
20230107:1210,0.0,47.92,1.01,15.36,9.3,4.0,0.0
20230107:1310,0.0,18.08,0.38,12.4,9.39,3.72,0.0
20230107:1410,0.0,16.27,0.34,7.45,9.17,3.24,0.0
20230107:1510,0.0,0.0,0.0,0.0,8.45,2.97,0.0
20230107:1610,0.0,0.0,0.0,0.0,7.2,2.76,0.0
20230107:1710,0.0,0.0,0.0,0.0,6.49,2.9,0.0
20230107:1810,0.0,0.0,0.0,0.0,5.95,2.9,0.0
20230107:1910,0.0,0.0,0.0,0.0,6.88,3.79,0.0
20230107:2010,0.0,0.0,0.0,0.0,6.85,3.79,0.0
20230107:2110,0.0,0.0,0.0,0.0,6.38,3.59,0.0
20230107:2210,0.0,0.0,0.0,0.0,6.27,3.52,0.0
20230107:2310,0.0,0.0,0.0,0.0,6.51,3.59,0.0
20230108:0010,0.0,0.0,0.0,0.0,6.48,3.52,0.0
20230108:0110,0.0,0.0,0.0,0.0,6.55,3.45,0.0
20230108:0210,0.0,0.0,0.0,0.0,6.29,3.17,0.0
20230108:0310,0.0,0.0,0.0,0.0,6.14,2.9,0.0
20230108:0410,0.0,0.0,0.0,0.0,6.0,2.83,0.0
20230108:0510,0.0,0.0,0.0,0.0,5.96,2.97,0.0
20230108:0610,0.0,0.0,0.0,0.0,6.04,3.31,0.0
20230108:0710,0.0,0.0,0.0,0.0,6.6,3.03,0.0
20230108:0810,0.0,14.47,0.3,5.08,6.82,3.24,0.0
20230108:0910,3.5,53.96,1.14,10.74,7.14,3.59,0.0
20230108:1010,14.92,88.89,1.91,14.56,7.43,3.59,0.0
20230108:1110,0.0,62.39,1.31,16.2,7.97,3.79,0.0
20230108:1210,0.0,68.71,1.45,15.51,8.26,3.59,0.0
20230108:1310,0.0,45.21,0.95,12.55,8.45,3.93,0.0
20230108:1410,87.81,67.06,1.39,7.6,8.38,3.72,0.0
20230108:1510,0.0,0.0,0.0,0.0,8.27,3.66,0.0
20230108:1610,0.0,0.0,0.0,0.0,7.73,3.66,0.0
20230108:1710,0.0,0.0,0.0,0.0,7.37,3.79,0.0
20230108:1810,0.0,0.0,0.0,0.0,7.11,3.38,0.0
20230108:1910,0.0,0.0,0.0,0.0,6.68,3.31,0.0
20230108:2010,0.0,0.0,0.0,0.0,6.39,3.1,0.0
20230108:2110,0.0,0.0,0.0,0.0,6.09,2.9,0.0
20230108:2210,0.0,0.0,0.0,0.0,5.67,2.55,0.0
20230108:2310,0.0,0.0,0.0,0.0,4.95,2.07,0.0
20230109:0010,0.0,0.0,0.0,0.0,4.11,2.21,0.0
20230109:0110,0.0,0.0,0.0,0.0,4.41,2.55,0.0
20230109:0210,0.0,0.0,0.0,0.0,4.83,3.1,0.0
20230109:0310,0.0,0.0,0.0,0.0,5.01,3.45,0.0
20230109:0410,0.0,0.0,0.0,0.0,5.22,3.93,0.0
20230109:0510,0.0,0.0,0.0,0.0,5.06,3.79,0.0
20230109:0610,0.0,0.0,0.0,0.0,5.12,3.66,0.0
20230109:0710,0.0,0.0,0.0,0.0,6.16,4.07,0.0
20230109:0810,190.44,48.55,1.14,5.16,5.96,4.21,0.0
20230109:0910,413.22,94.96,3.13,10.84,5.74,4.28,0.0
20230109:1010,100.8,129.3,2.86,14.67,5.83,3.86,0.0
20230109:1110,81.56,136.07,3.01,16.33,6.16,5.17,0.0
20230109:1210,79.89,130.23,2.88,15.66,6.4,5.66,0.0
20230109:1310,247.63,128.18,3.13,12.71,6.67,4.83,0.0
20230109:1410,90.43,68.44,1.43,7.77,6.72,3.66,0.0
20230109:1510,0.0,0.0,0.0,0.0,6.18,3.24,0.0
20230109:1610,0.0,0.0,0.0,0.0,5.72,3.59,0.0
20230109:1710,0.0,0.0,0.0,0.0,5.4,3.86,0.0
20230109:1810,0.0,0.0,0.0,0.0,5.25,4.07,0.0
20230109:1910,0.0,0.0,0.0,0.0,5.5,4.14,0.0
20230109:2010,0.0,0.0,0.0,0.0,5.41,3.93,0.0
20230109:2110,0.0,0.0,0.0,0.0,5.05,3.72,0.0
20230109:2210,0.0,0.0,0.0,0.0,4.57,3.66,0.0
20230109:2310,0.0,0.0,0.0,0.0,4.35,3.66,0.0
20230110:0010,0.0,0.0,0.0,0.0,4.24,3.72,0.0
20230110:0110,0.0,0.0,0.0,0.0,4.19,3.66,0.0
20230110:0210,0.0,0.0,0.0,0.0,4.19,3.72,0.0
20230110:0310,0.0,0.0,0.0,0.0,4.2,3.93,0.0
20230110:0410,0.0,0.0,0.0,0.0,4.36,4.0,0.0
20230110:0510,0.0,0.0,0.0,0.0,4.35,3.93,0.0
20230110:0610,0.0,0.0,0.0,0.0,4.3,3.79,0.0
20230110:0710,0.0,0.0,0.0,0.0,4.33,3.72,0.0
20230110:0810,16.53,31.61,0.67,5.24,4.4,3.45,0.0
20230110:0910,13.77,66.1,1.41,10.94,4.63,3.66,0.0
20230110:1010,161.95,143.67,3.26,14.8,4.93,4.41,0.0
20230110:1110,248.68,166.91,4.04,16.47,5.32,4.9,0.0
20230110:1210,79.31,133.03,2.93,15.81,5.53,4.55,0.0
20230110:1310,34.15,92.73,2.0,12.88,5.52,3.59,0.0
20230110:1410,311.06,76.77,2.13,7.94,5.59,3.79,0.0
20230110:1510,0.0,0.0,0.0,0.0,5.0,3.59,0.0
20230110:1610,0.0,0.0,0.0,0.0,4.22,3.72,0.0
20230110:1710,0.0,0.0,0.0,0.0,3.95,3.86,0.0
20230110:1810,0.0,0.0,0.0,0.0,3.75,4.0,0.0
20230110:1910,0.0,0.0,0.0,0.0,3.84,4.14,0.0
20230110:2010,0.0,0.0,0.0,0.0,3.91,4.48,0.0
20230110:2110,0.0,0.0,0.0,0.0,4.08,4.76,0.0
20230110:2210,0.0,0.0,0.0,0.0,4.07,5.1,0.0
20230110:2310,0.0,0.0,0.0,0.0,4.02,5.17,0.0
20230111:0010,0.0,0.0,0.0,0.0,4.05,5.17,0.0
20230111:0110,0.0,0.0,0.0,0.0,3.98,5.1,0.0
20230111:0210,0.0,0.0,0.0,0.0,4.29,4.97,0.0
20230111:0310,0.0,0.0,0.0,0.0,4.75,4.9,0.0
20230111:0410,0.0,0.0,0.0,0.0,5.25,4.9,0.0
20230111:0510,0.0,0.0,0.0,0.0,5.76,4.76,0.0
20230111:0610,0.0,0.0,0.0,0.0,6.34,4.97,0.0
20230111:0710,0.0,0.0,0.0,0.0,6.16,4.9,0.0
20230111:0810,0.0,12.66,0.27,5.34,6.67,4.9,0.0
20230111:0910,0.0,50.63,1.07,11.05,7.08,4.76,0.0
20230111:1010,0.0,56.06,1.18,14.93,7.46,4.69,0.0
20230111:1110,16.65,105.57,2.27,16.62,7.8,4.69,0.0
20230111:1210,16.87,100.15,2.15,15.98,8.01,4.62,0.0
20230111:1310,0.0,50.63,1.07,13.05,8.08,4.34,0.0
20230111:1410,63.51,65.1,1.37,8.12,8.1,4.28,0.0
20230111:1510,0.0,0.0,0.0,0.0,7.85,4.0,0.0
20230111:1610,0.0,0.0,0.0,0.0,7.23,4.07,0.0
20230111:1710,0.0,0.0,0.0,0.0,6.41,3.93,0.0
20230111:1810,0.0,0.0,0.0,0.0,5.86,3.79,0.0
20230111:1910,0.0,0.0,0.0,0.0,5.94,4.14,0.0
20230111:2010,0.0,0.0,0.0,0.0,5.63,4.41,0.0
20230111:2110,0.0,0.0,0.0,0.0,5.29,4.48,0.0
20230111:2210,0.0,0.0,0.0,0.0,5.16,4.69,0.0
20230111:2310,0.0,0.0,0.0,0.0,4.81,4.97,0.0
20230112:0010,0.0,0.0,0.0,0.0,4.73,5.45,0.0
20230112:0110,0.0,0.0,0.0,0.0,5.01,5.93,0.0
20230112:0210,0.0,0.0,0.0,0.0,5.46,6.28,0.0
20230112:0310,0.0,0.0,0.0,0.0,5.55,6.14,0.0
20230112:0410,0.0,0.0,0.0,0.0,5.9,6.0,0.0
20230112:0510,0.0,0.0,0.0,0.0,6.06,6.14,0.0
20230112:0610,0.0,0.0,0.0,0.0,6.24,6.28,0.0
20230112:0710,0.0,0.0,0.0,0.0,6.71,6.48,0.0
20230112:0810,0.0,19.89,0.42,5.44,6.74,6.83,0.0
20230112:0910,10.14,65.31,1.39,11.17,6.71,7.17,0.0
20230112:1010,11.61,89.98,1.92,15.07,6.67,7.52,0.0
20230112:1110,74.41,135.86,3.01,16.78,6.76,7.31,0.0
20230112:1210,136.7,147.14,3.35,16.15,7.0,7.1,0.0
20230112:1310,0.0,49.73,1.05,13.23,7.35,6.9,0.0
20230112:1410,35.1,58.43,1.24,8.3,7.61,6.62,0.0
20230112:1510,0.0,0.9,0.02,1.74,7.78,6.41,0.0
20230112:1610,0.0,0.0,0.0,0.0,7.88,6.34,0.0
20230112:1710,0.0,0.0,0.0,0.0,7.94,6.21,0.0
20230112:1810,0.0,0.0,0.0,0.0,7.96,6.21,0.0
20230112:1910,0.0,0.0,0.0,0.0,8.08,6.28,0.0
20230112:2010,0.0,0.0,0.0,0.0,8.13,6.55,0.0
20230112:2110,0.0,0.0,0.0,0.0,8.19,6.62,0.0
20230112:2210,0.0,0.0,0.0,0.0,8.23,6.55,0.0
20230112:2310,0.0,0.0,0.0,0.0,8.24,6.41,0.0
20230113:0010,0.0,0.0,0.0,0.0,8.21,6.28,0.0
20230113:0110,0.0,0.0,0.0,0.0,8.32,6.07,0.0
20230113:0210,0.0,0.0,0.0,0.0,8.38,5.79,0.0
20230113:0310,0.0,0.0,0.0,0.0,8.45,5.79,0.0
20230113:0410,0.0,0.0,0.0,0.0,8.53,6.0,0.0
20230113:0510,0.0,0.0,0.0,0.0,8.22,6.55,0.0
20230113:0610,0.0,0.0,0.0,0.0,7.99,5.45,0.0
20230113:0710,0.0,0.0,0.0,0.0,7.88,5.38,0.0
20230113:0810,198.49,53.06,1.26,5.54,7.68,5.1,0.0
20230113:0910,388.24,101.08,3.18,11.3,7.54,5.17,0.0
20230113:1010,478.04,127.3,4.48,15.21,7.6,5.38,0.0
20230113:1110,46.51,126.24,2.76,16.94,7.82,5.45,0.0
20230113:1210,19.37,105.25,2.27,16.32,7.93,6.21,0.0
20230113:1310,295.19,132.48,3.47,13.41,7.76,5.93,0.0
20230113:1410,0.0,29.84,0.63,8.49,7.41,6.34,0.0
20230113:1510,0.0,0.9,0.02,1.92,6.81,5.86,0.0
20230113:1610,0.0,0.0,0.0,0.0,6.18,5.38,0.0
20230113:1710,0.0,0.0,0.0,0.0,6.16,5.45,0.0
20230113:1810,0.0,0.0,0.0,0.0,6.2,5.59,0.0
20230113:1910,0.0,0.0,0.0,0.0,5.71,5.72,0.0
20230113:2010,0.0,0.0,0.0,0.0,5.24,5.38,0.0
20230113:2110,0.0,0.0,0.0,0.0,5.3,5.66,0.0
20230113:2210,0.0,0.0,0.0,0.0,5.51,5.79,0.0
20230113:2310,0.0,0.0,0.0,0.0,5.47,5.66,0.0
20230114:0010,0.0,0.0,0.0,0.0,5.52,5.52,0.0
20230114:0110,0.0,0.0,0.0,0.0,5.16,5.17,0.0
20230114:0210,0.0,0.0,0.0,0.0,5.13,5.03,0.0
20230114:0310,0.0,0.0,0.0,0.0,5.04,5.03,0.0
20230114:0410,0.0,0.0,0.0,0.0,5.0,4.76,0.0
20230114:0510,0.0,0.0,0.0,0.0,4.92,4.69,0.0
20230114:0610,0.0,0.0,0.0,0.0,4.75,4.34,0.0
20230114:0710,0.0,0.0,0.0,0.0,4.13,4.14,0.0
20230114:0810,5.12,27.89,0.59,5.66,4.05,4.28,0.0
20230114:0910,82.83,98.59,2.13,11.43,4.51,4.55,0.0
20230114:1010,5.71,83.3,1.77,15.36,5.18,4.62,0.0
20230114:1110,0.0,80.47,1.7,17.11,5.91,6.41,0.0
20230114:1210,0.0,59.67,1.26,16.5,6.11,5.45,0.0
20230114:1310,0.0,40.69,0.86,13.6,6.09,5.52,0.0
20230114:1410,0.0,19.89,0.42,8.68,6.18,5.72,0.0
20230114:1510,0.0,1.81,0.04,2.12,6.48,6.14,0.0
20230114:1610,0.0,0.0,0.0,0.0,6.86,6.55,0.0
20230114:1710,0.0,0.0,0.0,0.0,7.14,6.69,0.0
20230114:1810,0.0,0.0,0.0,0.0,7.41,6.83,0.0
20230114:1910,0.0,0.0,0.0,0.0,7.42,6.76,0.0
20230114:2010,0.0,0.0,0.0,0.0,7.59,6.9,0.0
20230114:2110,0.0,0.0,0.0,0.0,7.86,6.97,0.0
20230114:2210,0.0,0.0,0.0,0.0,8.19,6.9,0.0
20230114:2310,0.0,0.0,0.0,0.0,8.62,6.62,0.0
20230115:0010,0.0,0.0,0.0,0.0,8.89,6.55,0.0
20230115:0110,0.0,0.0,0.0,0.0,9.02,6.34,0.0
20230115:0210,0.0,0.0,0.0,0.0,8.92,6.14,0.0
20230115:0310,0.0,0.0,0.0,0.0,8.33,5.31,0.0
20230115:0410,0.0,0.0,0.0,0.0,6.81,4.9,0.0
20230115:0510,0.0,0.0,0.0,0.0,5.55,4.62,0.0
20230115:0610,0.0,0.0,0.0,0.0,4.79,4.62,0.0
20230115:0710,0.0,0.0,0.0,0.0,4.76,4.28,0.0
20230115:0810,25.11,37.96,0.78,5.78,4.66,4.55,0.0
20230115:0910,0.0,36.17,0.76,11.57,4.74,5.24,0.0
20230115:1010,0.0,72.33,1.52,15.52,4.9,5.52,0.0
20230115:1110,43.11,127.19,2.78,17.29,4.99,5.38,0.0
20230115:1210,32.67,118.4,2.57,16.69,5.05,5.52,0.0
20230115:1310,395.19,122.12,3.87,13.8,5.13,5.93,0.0
20230115:1410,277.19,86.05,2.29,8.88,5.26,6.28,0.0
20230115:1510,0.0,1.81,0.04,2.31,5.02,5.93,0.0
20230115:1610,0.0,0.0,0.0,0.0,4.47,5.93,0.0
20230115:1710,0.0,0.0,0.0,0.0,4.22,6.28,0.0
20230115:1810,0.0,0.0,0.0,0.0,3.93,6.41,0.0
20230115:1910,0.0,0.0,0.0,0.0,3.86,6.69,0.0
20230115:2010,0.0,0.0,0.0,0.0,3.68,6.28,0.0
20230115:2110,0.0,0.0,0.0,0.0,3.42,5.79,0.0
20230115:2210,0.0,0.0,0.0,0.0,3.15,5.45,0.0
20230115:2310,0.0,0.0,0.0,0.0,2.91,5.03,0.0
20230116:0010,0.0,0.0,0.0,0.0,2.73,4.76,0.0
20230116:0110,0.0,0.0,0.0,0.0,2.47,4.48,0.0
20230116:0210,0.0,0.0,0.0,0.0,2.24,4.34,0.0
20230116:0310,0.0,0.0,0.0,0.0,2.25,4.41,0.0
20230116:0410,0.0,0.0,0.0,0.0,2.14,4.28,0.0
20230116:0510,0.0,0.0,0.0,0.0,2.13,4.14,0.0
20230116:0610,0.0,0.0,0.0,0.0,1.84,3.86,0.0
20230116:0710,0.0,0.0,0.0,0.0,1.62,3.45,0.0
20230116:0810,29.52,40.91,0.84,5.9,2.13,3.66,0.0
20230116:0910,0.0,50.63,1.07,11.72,2.69,3.52,0.0
20230116:1010,202.3,155.04,3.66,15.69,3.33,4.41,0.0
20230116:1110,379.62,169.75,4.8,17.47,4.12,4.83,0.0
20230116:1210,307.73,168.84,4.4,16.89,4.65,4.62,0.0
20230116:1310,0.0,36.17,0.76,14.0,5.06,4.41,0.0
20230116:1410,123.42,85.97,1.87,9.08,4.93,5.38,0.0
20230116:1510,0.0,3.62,0.08,2.52,4.8,4.97,0.0
20230116:1610,0.0,0.0,0.0,0.0,4.48,4.76,0.0
20230116:1710,0.0,0.0,0.0,0.0,4.33,5.17,0.0
20230116:1810,0.0,0.0,0.0,0.0,3.84,5.45,0.0
20230116:1910,0.0,0.0,0.0,0.0,3.85,5.24,0.0
20230116:2010,0.0,0.0,0.0,0.0,3.57,5.24,0.0
20230116:2110,0.0,0.0,0.0,0.0,3.01,4.9,0.0
20230116:2210,0.0,0.0,0.0,0.0,2.72,4.48,0.0
20230116:2310,0.0,0.0,0.0,0.0,2.74,4.55,0.0
20230117:0010,0.0,0.0,0.0,0.0,2.65,4.9,0.0
20230117:0110,0.0,0.0,0.0,0.0,2.58,5.45,0.0
20230117:0210,0.0,0.0,0.0,0.0,2.44,5.79,0.0
20230117:0310,0.0,0.0,0.0,0.0,2.01,5.86,0.0
20230117:0410,0.0,0.0,0.0,0.0,1.84,5.93,0.0
20230117:0510,0.0,0.0,0.0,0.0,1.65,5.93,0.0
20230117:0610,0.0,0.0,0.0,0.0,1.29,5.52,0.0
20230117:0710,0.0,0.0,0.0,0.0,0.91,5.1,0.0
20230117:0810,0.0,6.33,0.13,6.04,0.7,4.62,0.0
20230117:0910,144.32,115.62,2.57,11.87,0.9,3.59,0.0
20230117:1010,103.06,140.73,3.14,15.86,1.54,3.72,0.0
20230117:1110,405.74,170.32,4.97,17.66,1.96,4.0,0.0
